,Name
Beatrice How,1
Adriana Varejao,1
Caroline Bergvall,1
Judith Rothschild,1
Nancy Spero,1
Carmen Herrera,1
Ruth Ewan,1
Julie Roberts,1
Annette Messager,1
Sylvia Gosse,1
Simryn Gill,1
Mary Kelly,1
Margaret Priest,1
Ann Sanders,1
Aleksandra Mir,1
Shirin Neshat,1
Catherine Sullivan,1
Mithu Sen,1
Fei Cao,1
Hannah Wilke,1
Audrey Capel Doray,1
Violet Rutland  Duchess of,1
Wangechi Mutu,1
Swoon,1
Clare Atwood,1
Samira Eskandarfar,1
Yael Bartana,1
Layla Curtis,1
Georgina Macdonald,1
Hedda Sterne,1
Rita M. Ling,1
Julian Phelps Allan,1
Anna Hope Hudson,1
Tomoko Takahashi,1
Joan Jonas,1
Mary Kessell,1
Maria Cardoso,1
Kate Blacker,1
Lady Davis,1
R. H. Quaytman,1
Grace Wheatley,1
Ann Travis,1
Jo Feiler,1
Mary Newcomb,1
Catherine Lee,1
Judy Wong,1
Phyllis Ginger,1
Ulla von Brandenburg,1
Lady Gordon,1
Olwyn Bowey,1
Marie Cazin,1
Hilda Carline,1
Babette Mangolte,1
Imke Wagener,1
Lady Dorothy Stanley,1
Miriam Bäckström,1
Lady Louisa Greville,1
Clara Klinghoffer,1
Adolfine Ryland,1
Lily D. Joseph,1
Abigail Lane,1
Lucy McKenzie,1
Wendy Pasmore,1
Jane Pollard,1
Vera Frenkel,1
Mimi Parent,1
Margaret Fisher Prout,1
Jananne Al-Ani,1
Helena Markson,1
Ann Hamilton,1
Margery Clinton,1
Joan Key,1
Francis Upritchard,1
Shelagh Wakely,1
Isa Genzken,1
Marianne Stokes,1
Grazia Toderi,1
Florence Engelbach,1
Berthe Morisot,1
Keiko Minami,1
Ghitta Caiserman-Roth,1
Isabel Rawsthorne,1
Hanne Darboven,1
Ellen Cantor,1
Jean Cooke,1
Nusch Eluard,1
Dorothy Cross,1
Ann Mary Newton,1
Margaret Gere,1
Lee Krasner,1
Monique Charbonneau,1
Eija-Liisa Ahtila,1
Anne Seymour Damer,1
Esther Pissarro,1
Lady Dacre,1
Svetlana Kopystiansky,1
Elsa Fraenkel,1
Evelyn Cheston,1
Sue Fuller,1
Elizabeth Forbes,1
Elinor Bellingham-Smith,1
Caragh Thuring,1
Meraud Guevara,1
Carla Zaccagnini,1
Cecily Brown,1
Cathy Wilkes,1
Monir Shahroudy Farmanfarmaian,1
Felicia Leirner,1
Astrid Klein,1
Georgie Hopton,1
J. Morgan Puett,1
Gulsun Karamustafa,1
Maude Boughton Leigh,1
Alison Turnbull,1
Hou Bo,1
Romey Brough,1
Louisa Matthiasdottir,1
Suzanne Lacy,1
Emma Ciardi,1
Lady Kennet,1
Anna Barham,1
Lucy Gunning,1
Fiona Tan,1
Valerie Large,1
Alina Szapocznikow,1
Sheila Black,1
Liliana Porter,1
Charlotte Perriand,1
Lis Rhodes,1
Olivia Plender,1
Leonor Fini,1
Jac Leirner,1
Nazgol Ansarinia,1
Christina Broom,1
Hideko Fukushima,1
Pipilotti Rist,1
Renée Sintenis,1
Lygia Pape,1
Liza May Post,1
Rose Finn-Kelcey,1
Joan Eardley,1
Emily Wardill,1
Lilian Holt,1
Anni Albers,1
Valeska Soares,1
Keren Cytter,1
Ithell Colquhoun,1
Grete Stern,1
Elizabeth Butler,1
Margaret Barker,1
Barbara Kruger,1
Janet Cardiff,1
Niki de Saint Phalle,1
Zarina Bhimji,1
Anthea Alley,1
Misch Kohn,1
Minerva Cuevas,1
Mildred Anne Butler,1
Anthea Hamilton,1
Sylvia Melland,1
Hester Reeve,1
Susan Philipsz,1
Melanie Jackson,1
Rosalind Nashashibi,1
Jo Bruton,1
Yto Barrada,1
Rivane Neuenschwander,1
Lucy Skaer,1
Sylvia Pankhurst,1
Rose Wylie,1
Jo Baer,1
Ha van Vuong,1
Anjali Monteiro,1
Marianne Unwin,1
Liz Rideal,1
Louise Hutchinson,1
Winifred Turner,1
Claire Falkenstein,1
Eve Kirk,1
Bela Kolárová,1
Mary McEvoy,1
Hilda Fearon,1
Henriette Browne,1
Lindsay Seers,1
Feodora Gleichen,1
Laura Ford,1
Sarah Staton,1
Mary Hartley  of Bath,1
Vivian Forbes,1
Ruth Baehnisch,1
Sarah Nechamkin,1
Nadia Benois,1
Norah Braden,1
Moyra Davey,1
Fiona Crisp,1
Hilde Goldschmidt,1
Dorothy Bohm,1
Janice Jacobs,1
Angela Burt (née Dallas),1
Pae White,1
Runa Islam,1
Lee Bontecou,1
Clunie Reid,1
Laetitia Yhap,1
Yoko Ono,1
Chloe Cheese,1
Hala Elkoussy,1
Monika Sosnowska,1
Anne Collier,1
Carolee Schneemann,1
Amy Sillman,1
Karin Jonzen,1
Sandra Gamarra,1
Nil Yalter,1
Eleanor Koch,1
Céline Emilian,1
Chryssa Vardea,1
Lois Fine,1
Priscilla Monge,1
Christine Borland,1
